iter	RMSE
0	40.94837912
1	39.6600345
2	38.37113234
3	37.08278662
4	35.91672072
5	34.74709782
6	33.63210238
7	32.53784381
8	31.5597221
9	30.5856261
10	29.54448417
11	28.58206055
12	27.67659046
13	26.79735317
14	25.96439994
15	25.22396746
16	24.45069725
17	23.68425412
18	22.90199408
19	22.17516881
20	21.48653318
21	20.85967141
22	20.31385361
23	19.64878648
24	19.03545758
25	18.48366367
26	17.96666897
27	17.45575813
28	16.92960516
29	16.42321086
30	15.89022717
31	15.47886456
32	15.01900697
33	14.59886043
34	14.15094811
35	13.72942254
36	13.32941436
37	12.96330847
38	12.59644294
39	12.23356796
40	11.85526587
41	11.53464339
42	11.19747677
43	10.89181847
44	10.58406357
45	10.28066579
46	9.982465162
47	9.680299596
48	9.407496107
49	9.137035019
50	8.874034342
51	8.6424359
52	8.381335674
53	8.168952889
54	7.942592932
55	7.725109341
56	7.505362604
57	7.321407741
58	7.136304114
59	6.945913026
60	6.751227544
61	6.578648003
62	6.404837855
63	6.242004685
64	6.068176536
65	5.919755861
66	5.785069103
67	5.635267477
68	5.499445941
69	5.367857601
70	5.233149189
71	5.10669723
72	4.975778632
73	4.855823205
74	4.741385547
75	4.639278125
76	4.542235821
77	4.438726883
78	4.32882715
79	4.225335058
80	4.129342426
81	4.031624
82	3.93810112
83	3.851144974
84	3.779755047
85	3.693712402
86	3.610197156
87	3.538719474
88	3.460897447
89	3.393029448
90	3.321681807
91	3.251519385
92	3.188564521
93	3.121465337
94	3.064283818
95	3.009310633
96	2.951084888
97	2.896589249
98	2.856270864
99	2.801490207
100	2.752837806
101	2.70642766
102	2.662787002
103	2.612612183
104	2.576861449
105	2.539775234
106	2.51079372
107	2.470545488
108	2.430203337
109	2.391950516
110	2.358522315
111	2.327646726
112	2.293408067
113	2.263613981
114	2.231762174
115	2.204399655
116	2.177883355
117	2.148232481
118	2.120512488
119	2.097152032
120	2.070985764
121	2.057509612
122	2.031888905
123	2.006014142
124	1.984572302
125	1.961043411
126	1.940590206
127	1.920561525
128	1.899976966
129	1.88188921
130	1.869224594
131	1.849021128
132	1.832050475
133	1.814128396
134	1.795439691
135	1.77632782
136	1.76375006
137	1.750043142
138	1.734248887
139	1.728503755
140	1.714384796
141	1.697505108
142	1.692047199
143	1.676580217
144	1.663788767
145	1.65222426
146	1.637889442
147	1.625078397
148	1.618014128
149	1.611591803
150	1.60692035
151	1.594868553
152	1.591733223
153	1.582541767
154	1.570817414
155	1.561703359
156	1.552959682
157	1.543898518
158	1.537609663
159	1.525796824
160	1.515432795
161	1.5058341
162	1.494663453
163	1.48684607
164	1.483367263
165	1.479864288
166	1.475901652
167	1.472824007
168	1.465816555
169	1.463228571
170	1.45333753
171	1.446996365
172	1.444543784
173	1.44073441
174	1.437941643
175	1.434615205
176	1.431622246
177	1.425997959
178	1.416625554
179	1.414279557
180	1.411750277
181	1.409662329
182	1.404925132
183	1.401388125
184	1.398334563
185	1.389976818
186	1.387242913
187	1.379875186
188	1.371299704
189	1.366497482
190	1.362476396
191	1.359862187
192	1.35748144
193	1.355522453
194	1.35336499
195	1.351318551
196	1.345660616
197	1.342005075
198	1.339180589
199	1.335974142
200	1.333957177
201	1.326097668
202	1.323601585
203	1.322371163
204	1.319275019
205	1.317616645
206	1.316030186
207	1.313737488
208	1.312244107
209	1.310357279
210	1.303381464
211	1.30164383
212	1.295497186
213	1.292626954
214	1.291270495
215	1.284302761
216	1.282572076
217	1.281505418
218	1.275462742
219	1.273310794
220	1.271535892
221	1.270543729
222	1.269469574
223	1.268339536
224	1.259343756
225	1.254607566
226	1.247405751
227	1.246340598
228	1.244070436
229	1.242757426
230	1.241479665
231	1.236610303
232	1.23101814
233	1.229809536
234	1.228452497
235	1.223409676
236	1.222291623
237	1.220220491
238	1.219161634
239	1.217967471
240	1.216776235
241	1.212490977
242	1.211637686
243	1.210932777
244	1.205259726
245	1.20146274
246	1.195952305
247	1.195059277
248	1.193079511
249	1.191561846
250	1.190884339
251	1.190075318
252	1.186396627
253	1.185022377
254	1.180577282
255	1.179818214
256	1.176237797
257	1.171484876
258	1.169832494
259	1.163067451
260	1.16236451
261	1.161680201
262	1.160489867
263	1.157658236
264	1.1529427
265	1.151495105
266	1.148314276
267	1.147267768
268	1.145965613
269	1.145379217
270	1.144422117
271	1.14143201
272	1.136696242
273	1.132839301
274	1.132395271
275	1.128839741
276	1.128314266
277	1.127802824
278	1.127305003
279	1.123255414
280	1.119859361
281	1.115026441
282	1.114128582
283	1.113319207
284	1.11038132
285	1.110011981
286	1.109540684
287	1.103723968
288	1.100951836
289	1.100604997
290	1.096401453
291	1.092831976
292	1.092436462
293	1.091766553
294	1.091392364
295	1.08909084
296	1.088480911
297	1.085210839
298	1.083264063
299	1.079146372
300	1.074528422
301	1.072025407
302	1.071457378
303	1.070911866
304	1.065673522
305	1.063378225
306	1.058995483
307	1.058739269
308	1.053936643
309	1.04951928
310	1.049061463
311	1.048787427
312	1.044742804
313	1.04448016
314	1.044224443
315	1.04206172
316	1.038927902
317	1.035335636
318	1.032143944
319	1.026247186
320	1.022663705
321	1.019185817
322	1.018962897
