iter	Passed	Remaining
0	1	1005
1	2	1128
2	3	1036
3	4	1008
4	4	975
5	5	949
6	6	922
7	7	903
8	8	897
9	8	886
10	9	871
11	10	902
12	12	983
13	13	981
14	14	971
15	15	957
16	16	947
17	17	936
18	18	929
19	18	921
20	19	913
21	20	910
22	21	903
23	22	895
24	22	890
25	23	882
26	24	870
27	24	867
28	26	881
29	27	892
30	28	889
31	29	889
32	30	897
33	32	912
34	33	913
35	34	912
36	34	909
37	35	903
38	36	899
39	37	896
40	38	891
41	38	886
42	39	883
43	40	881
44	41	890
45	42	889
46	43	887
47	44	884
48	46	910
49	47	910
50	48	907
51	49	904
52	50	899
53	51	895
54	51	891
55	52	887
56	53	883
57	54	880
58	54	877
59	56	883
60	57	883
61	58	881
62	59	889
63	76	1117
64	77	1111
65	78	1105
66	78	1098
67	79	1091
68	80	1085
69	81	1078
70	82	1073
71	82	1066
72	83	1060
73	84	1054
74	85	1049
75	85	1044
76	86	1039
77	88	1042
78	89	1039
79	90	1035
80	90	1029
81	91	1025
82	92	1020
83	93	1016
84	93	1010
85	94	1006
86	95	1001
87	96	996
88	96	992
89	97	987
90	98	982
91	99	977
92	99	973
93	100	969
94	101	965
95	102	964
96	103	964
97	104	961
98	105	957
99	105	953
100	106	949
101	107	945
102	108	942
103	108	938
104	109	935
105	110	932
106	111	929
107	112	926
108	112	923
109	113	920
110	114	917
111	115	912
112	115	909
113	117	912
114	118	910
115	119	909
116	120	906
117	120	903
118	121	902
119	123	908
120	124	906
121	125	903
122	126	900
123	127	897
124	127	895
125	128	892
126	129	890
127	130	887
128	131	886
129	132	885
130	133	884
131	134	882
132	135	880
133	136	879
134	136	876
135	137	875
136	138	872
137	139	870
138	140	868
139	141	866
140	141	863
141	142	861
142	143	859
143	144	857
144	145	855
145	145	852
146	146	851
147	147	850
148	148	849
149	149	847
150	150	844
151	151	842
152	151	838
153	152	836
154	153	834
155	153	832
156	154	830
157	155	828
158	156	826
159	157	825
160	157	823
161	158	821
162	159	819
163	160	817
164	161	814
165	161	813
166	163	813
167	163	811
168	164	809
169	165	805
170	165	803
171	166	801
172	167	798
173	167	796
174	168	795
175	169	793
176	170	791
177	171	790
178	172	788
179	172	786
180	173	784
181	173	781
182	174	779
183	175	778
184	176	779
185	177	777
186	178	774
187	178	772
188	179	770
189	180	768
190	181	766
191	181	765
192	182	763
193	183	761
194	184	760
195	184	758
196	185	756
197	186	754
198	187	752
199	187	751
200	188	749
201	189	747
202	190	746
203	190	743
204	191	742
205	192	741
206	193	739
207	193	736
208	193	733
209	194	731
210	195	731
211	196	731
212	197	730
213	198	729
214	199	727
215	199	725
216	200	722
217	200	720
218	201	719
219	202	717
220	202	715
221	203	712
222	203	709
223	204	707
224	204	705
225	205	704
226	206	704
227	207	703
228	208	702
229	209	700
230	209	697
231	210	697
232	211	696
233	212	693
234	212	691
235	213	690
236	213	687
237	214	685
238	214	683
239	215	681
240	215	678
241	216	677
242	216	675
243	217	673
244	218	673
245	219	671
246	219	670
247	221	671
248	222	670
249	222	668
250	223	665
251	223	663
252	224	662
253	225	660
254	226	660
255	226	658
256	227	658
257	228	657
258	229	655
259	230	654
260	230	652
261	231	650
262	231	649
263	233	650
264	234	649
265	235	648
266	236	647
267	236	646
268	237	644
269	237	642
270	238	640
271	239	641
272	240	640
273	241	639
274	241	637
275	242	635
276	242	633
277	243	631
278	243	629
279	244	628
280	245	628
281	246	627
282	246	625
283	247	623
284	248	622
285	248	620
286	249	619
287	250	619
288	251	618
289	252	617
290	253	616
291	254	616
292	254	614
293	255	612
294	255	610
295	256	609
296	256	608
297	257	607
298	258	606
299	259	606
300	260	605
301	261	604
302	262	603
303	262	602
304	263	601
305	265	601
306	266	600
307	266	599
308	267	598
309	268	597
310	269	596
311	269	594
312	270	593
313	270	591
314	271	589
315	271	588
316	272	587
317	273	586
318	274	585
319	274	584
320	275	583
321	276	582
322	277	580
323	277	579
324	278	578
325	280	580
326	281	579
327	282	578
328	283	577
329	283	576
330	284	575
331	285	574
332	286	573
333	287	572
334	287	571
335	288	570
336	289	569
337	290	568
338	290	567
339	291	566
340	292	565
341	293	565
342	295	565
343	296	564
344	296	563
345	297	562
346	298	561
347	299	560
348	299	559
349	300	558
350	301	556
351	301	555
352	302	554
353	303	553
354	304	552
355	305	551
356	305	550
357	306	549
358	307	548
359	308	548
360	309	547
361	310	546
362	311	545
363	311	544
364	312	544
365	313	543
366	314	543
367	315	542
368	316	541
369	317	540
370	318	539
371	318	538
372	319	537
373	320	536
374	321	535
375	321	534
376	322	533
377	323	532
378	325	532
379	326	532
380	327	532
381	328	531
382	329	530
383	329	529
384	330	528
385	331	527
386	332	526
387	333	525
388	333	524
389	334	523
390	335	522
391	336	521
392	336	520
393	337	519
394	338	518
395	339	518
396	340	517
397	341	516
398	342	515
399	343	514
400	344	513
401	344	512
402	345	511
403	346	510
404	347	509
405	347	508
406	348	507
407	349	506
408	350	506
409	351	505
410	351	504
411	352	503
412	353	502
413	354	502
414	355	501
415	356	500
416	357	499
417	357	498
418	358	497
419	359	496
420	360	495
421	361	494
422	361	493
423	362	492
424	363	491
425	364	490
426	364	489
427	365	488
428	366	487
429	366	486
430	367	485
431	368	484
432	369	483
433	370	482
434	370	481
435	371	480
436	372	479
437	373	478
438	373	477
439	374	476
440	375	475
441	375	474
442	376	473
443	377	472
444	377	471
445	378	470
446	379	469
447	379	467
448	380	466
449	381	465
450	381	464
451	382	463
452	383	463
453	384	462
454	385	462
455	386	461
456	387	460
457	388	459
458	388	458
459	389	457
460	390	456
461	391	455
462	392	454
463	393	454
464	393	453
465	394	452
466	395	451
467	396	450
468	396	449
469	397	448
470	398	447
471	399	446
472	400	446
473	401	445
474	402	444
475	402	443
476	404	443
477	405	442
478	406	441
479	406	440
480	407	439
481	408	439
482	409	438
483	410	437
484	411	436
485	412	435
486	412	434
487	414	434
488	415	434
489	416	433
490	417	432
491	418	431
492	418	430
493	419	429
494	420	428
495	421	428
496	421	427
497	422	426
498	423	425
499	424	424
500	425	423
501	425	422
502	426	421
503	427	420
504	428	419
505	429	419
506	430	418
507	431	417
508	431	416
509	432	415
510	433	415
511	434	414
512	435	413
513	436	412
514	437	411
515	438	410
516	438	409
517	439	409
518	440	408
519	441	407
520	442	406
521	443	405
522	444	405
523	445	404
524	446	403
525	446	402
526	447	401
527	448	400
528	449	399
529	449	399
530	450	398
531	451	397
532	452	396
533	452	395
534	453	394
535	454	393
536	455	392
537	456	391
538	457	391
539	459	391
540	461	391
541	462	390
542	463	389
543	464	389
544	464	388
545	465	387
546	466	386
547	467	385
548	468	384
549	469	383
550	470	383
551	470	382
552	471	381
553	472	380
554	473	380
555	475	379
556	476	378
557	477	378
558	478	377
559	479	376
560	479	375
561	480	374
562	481	373
563	482	372
564	483	372
565	484	371
566	484	370
567	485	369
568	486	368
569	487	367
570	488	367
571	489	366
572	490	365
573	492	365
574	493	364
575	494	363
576	494	362
577	495	361
578	496	360
579	497	360
580	497	359
581	498	358
582	499	357
583	500	356
584	501	355
585	502	354
586	503	354
587	504	353
588	505	352
589	506	352
590	508	351
591	523	360
592	524	359
593	525	358
594	525	357
595	526	357
